Incident,Report Number,Date Reported,Date Occurred,Location,Disposition
Fire Alarm,160001,01/01/2016 - 0505,01/01/2016 - 0505,Sigma Alpha Epsilon,Closed
Duty on Striking an Unattended Vehicle,160004,01/03/2016 - 1818,12/12/2015 - 0745: 12/12/2015 - 1050,Commuter Lot,Inactive
Possession of Fictitious License or ID,160005,01/05/2016 - 1628,01/05/2016 - 1628,Hughes Trigg Student Center,Conduct Referral
Criminal Trespass,160007,01/06/2016 - 1602,01/06/2016 - 1602,Fondren Science Center,Arrest
Burglary of a Habitation,160010,01/09/2016 - 0914,01/09/2016 - 0300: 01/09/2016 - 0900,Hillcrest Manor Apartment,Active
Theft,160011,01/09/2016 - 1629,01/09/2016 - 1629,Crow Building,Inactive
Possession of Fictitious License or ID,160013,01/11/2016 - 1158,01/11/2016 - 1158,Smith Hall,Conduct Referral
"Possession of Marijuana, Possession of Fictitious License or ID",160014,01/11/2016 - 1859,01/11/2016 - 1859,Morrison McGinnis Hall,Conduct Referral
Fire Alarm,160015,01/12/2016 - 0217,01/12/2016 - 0217,Sigma Chi House,Closed
Possession of Fictitious License or ID,160016,01/12/2016 - 0743,01/12/2016 - 0743,SMU Police Department ,Conduct Referral
Harassment,160019,01/12/2016 - 1609,01/12/2016 - 1609,Hughes Trigg Student Center,Active
Consumption of Alcohol by a Minor,160021,01/13/2016 - 0211,01/13/2016 - 0211,Cockrell McIntosh Hall,Conduct Referral
"Consumption of Alcohol , Failure to Identify, Possession of Fictitious License or ID",160022,01/13/2016 - 0317,01/13/2016 - 0317,Phi Delta Theta House,Conduct Referral
Credit Card or Debit Card Abuse ,160024,01/13/2016 - 1336,01/13/2016 - 1336,Florence Hall,Active
Failure to Identify,160026,01/13/2016 - 2103,01/13/2016 - 2103,2800 SMU Boulevard,Arrest
Fire Alarm,160027,01/14/2016 - 1300,01/14/2016 - 1300,3160 Daniel Ave.,Closed
Theft,160028,01/14/2016 - 1617,01/14/2016 - 1617,6100 Bishop Blvd.,Inactive
Fire Alarm ,160029,01/14/2016 - 2026,01/14/2016 - 2026,Beta Theta Pi House,Closed
Consumption of Alcohol by a Minor,160030,01/15/2016 - 0121 ,01/15/2016 - 0121,Armstrong Residential Commons,Conduct Referral
Theft,160033,01/15/2016 - 1356,01/13/2016 - 1600: 01/14/2016 - 1800,Umphrey Lee Center,Active
 Theft,160034,01/15/2016 - 1609,01/15/2016 - 1200:01/15/2016 - 1400,Owens Art Center,Active
Consumption of Alcohol by a Minor,160036,01/16/2016 - 0128,01/16/2016 - 0128,McElvaney Hall,Conduct Referral
Sexual Assault,160037 (Crime Alert Issued),01/16/2016 - 1000,01/16/2016 - 0150,3301 Dyer Street,Active
Possession of Marijuana,160039,01/16/2016 - 2236,01/16/2016 - 2236,Cockrell McIntosh Hall,Conduct Referral
Duty on Striking an Unattended Vehicle,160041, 01/17/2016 - 1019,01/15/2016 - 2200:01/17/2016 - 1000,3058 SMU Boulevard,Active
Theft,160043,01/18/2016 - 1620,01/18/2016 - 1030: 01/18/2016 - 1600,3140 Dyer Street,Inactive
